22:24:10.928 [main] INFO  o.s.b.f.s.DefaultListableBeanFactory - Overriding bean definition for bean 'org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter' with a different definition: replacing [Root bean: class [org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null] with [Root bean: class [org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null]
22:24:10.928 [main] INFO  o.s.b.f.s.DefaultListableBeanFactory - Overriding bean definition for bean 'mvcUriComponentsContributor' with a different definition: replacing [Root bean: class [org.springframework.web.servlet.config.AnnotationDrivenBeanDefinitionParser$CompositeUriComponentsContributorFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null] with [Root bean: class [org.springframework.web.servlet.config.AnnotationDrivenBeanDefinitionParser$CompositeUriComponentsContributorFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null]
22:24:11.332 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
22:24:11.577 [ZkClient-EventThread-27-10.0.0.103:2181] INFO  org.I0Itec.zkclient.ZkEventThread - Starting ZkClient event thread.
22:24:11.577 [main] INFO  org.apache.zookeeper.ZooKeeper - Client environment:zookeeper.version=3.4.10-39d3a4f269333c922ed3db283be479f9deacaa0f, built on 03/23/2017 10:13 GMT
22:24:11.577 [main] INFO  org.apache.zookeeper.ZooKeeper - Client environment:host.name=Frog
22:24:11.577 [main] INFO  org.apache.zookeeper.ZooKeeper - Client environment:java.version=1.8.0_151
22:24:11.577 [main] INFO  org.apache.zookeeper.ZooKeeper - Client environment:java.vendor=Oracle Corporation
22:24:11.577 [main] INFO  org.apache.zookeeper.ZooKeeper - Client environment:java.home=C:\Program Files\Java\jdk1.8.0_151\jre
22:24:11.577 [main] INFO  org.apache.zookeeper.ZooKeeper - Client environment:java.class.path=D:/Program Files/MyEclipse 2017 CI/configuration/org.eclipse.osgi/1565/0/.cp/lib/eclipse-jetty-starters-common.jar;D:/Program Files/MyEclipse 2017 CI/configuration/org.eclipse.osgi/1565/0/.cp/lib/eclipse-jetty-starters-util.jar;D:/Program Files/MyEclipse 2017 CI/configuration/org.eclipse.osgi/1565/0/.cp/lib/eclipse-jetty-starters-console.jar;D:/Program Files/MyEclipse 2017 CI/configuration/org.eclipse.osgi/1565/0/.cp/lib/eclipse-jetty-starters-embedded.jar;D:/Program Files/MyEclipse 2017 CI/configuration/org.eclipse.osgi/1565/0/.cp/lib/jetty/javax.servlet.jar;D:/Program Files/MyEclipse 2017 CI/configuration/org.eclipse.osgi/1565/0/.cp/lib/jetty/jetty-server.jar;D:/Program Files/MyEclipse 2017 CI/configuration/org.eclipse.osgi/1565/0/.cp/lib/jetty/jetty-continuation.jar;D:/Program Files/MyEclipse 2017 CI/configuration/org.eclipse.osgi/1565/0/.cp/lib/jetty/jetty-http.jar;D:/Program Files/MyEclipse 2017 CI/configuration/org.eclipse.osgi/1565/0/.cp/lib/jetty/jetty-io.jar;D:/Program Files/MyEclipse 2017 CI/configuration/org.eclipse.osgi/1565/0/.cp/lib/jetty/jetty-util.jar;D:/Program Files/MyEclipse 2017 CI/configuration/org.eclipse.osgi/1565/0/.cp/lib/jetty/jetty-security.jar;D:/Program Files/MyEclipse 2017 CI/configuration/org.eclipse.osgi/1565/0/.cp/lib/jetty/jetty-servlet.jar;D:/Program Files/MyEclipse 2017 CI/configuration/org.eclipse.osgi/1565/0/.cp/lib/jetty/jetty-webapp.jar;D:/Program Files/MyEclipse 2017 CI/configuration/org.eclipse.osgi/1565/0/.cp/lib/jetty/jetty-xml.jar;D:/Program Files/MyEclipse 2017 CI/configuration/org.eclipse.osgi/1565/0/.cp/lib/jetty/jetty-jsp.jar;D:/Program Files/MyEclipse 2017 CI/configuration/org.eclipse.osgi/1565/0/.cp/lib/jetty/javax.servlet.jsp.jar;D:/Program Files/MyEclipse 2017 CI/configuration/org.eclipse.osgi/1565/0/.cp/lib/jetty/org.apache.jasper.glassfish.jar;D:/Program Files/MyEclipse 2017 CI/configuration/org.eclipse.osgi/1565/0/.cp/lib/jetty/javax.servlet.jsp.jstl.jar;D:/Program Files/MyEclipse 2017 CI/configuration/org.eclipse.osgi/1565/0/.cp/lib/jetty/org.apache.taglibs.standard.glassfish.jar;D:/Program Files/MyEclipse 2017 CI/configuration/org.eclipse.osgi/1565/0/.cp/lib/jetty/javax.el.jar;D:/Program Files/MyEclipse 2017 CI/configuration/org.eclipse.osgi/1565/0/.cp/lib/jetty/com.sun.el.jar;D:/Program Files/MyEclipse 2017 CI/configuration/org.eclipse.osgi/1565/0/.cp/lib/jetty/org.eclipse.jdt.core.jar;D:/Program Files/MyEclipse 2017 CI/configuration/org.eclipse.osgi/1565/0/.cp/lib/jetty/jetty-annotations.jar;D:/Program Files/MyEclipse 2017 CI/configuration/org.eclipse.osgi/1565/0/.cp/lib/jetty/javax.annotation.jar;D:/Program Files/MyEclipse 2017 CI/configuration/org.eclipse.osgi/1565/0/.cp/lib/jetty/org.objectweb.asm.jar;D:/Program Files/MyEclipse 2017 CI/configuration/org.eclipse.osgi/1565/0/.cp/lib/jetty/jetty-plus.jar
